Block Height,Timestamp,Miner Address,Reward
0,2011-10-07 07:31:05,Ler4HNAEfwYhBmGXcFP2Po1NpRUEiK8km2,50.0
1,2011-10-08 06:29:19,LSdTvMHRm8sScqwCi6x9wzYQae8JeZhx6y,50.0
2,2011-10-12 02:34:18,LeL16MDWU5jS3oeHHwEZRBTDExwPbNgcvy,50.0
3,2011-10-13 02:59:41,LYAj2j9pzSCNPBg9A4dbWUgmMiQDfrrY5N,50.0
4,2011-10-13 02:59:46,LKiiNMCKiGxfo1M5zqmHZQb5X1j3i69ZHX,50.0
5,2011-10-13 02:59:51,LadVH7kj2BYB68rVtPfCtjkstkrBPX8mBc,50.0
6,2011-10-13 02:59:56,LUUGnVxHgvUCAf8seLAto6pyGAFnwd7Twc,50.0
7,2011-10-13 03:00:01,LVrzBqL1s1ysemTHHbi5yNSbC44TC9sScT,50.0
8,2011-10-13 03:00:06,LRXrRzM59Mf5SSKgyGDRLUBcYFZrieTi11,50.0
9,2011-10-13 03:00:16,LQAUGe3GBjKAo1gU62bwDP9AnJtKbhwBoD,50.0
10,2011-10-13 03:00:31,LSDVpaCdGvgtJnHoSNmnT5CzgmDHAS7XGW,50.0
11,2011-10-13 03:00:33,LhSS7cu2WQRQkWDfcLLEEx1Fcf6FyEcXTq,50.0
12,2011-10-13 03:00:37,LSyaWXDYdAaHcefKVe8kXhTEowhbzXViCh,50.0
13,2011-10-13 03:00:48,LMUZF47ySkrJ1njBRdQDyPVKkicziiZdQd,50.0
14,2011-10-13 03:00:53,LZuhywK4FioMLegS3Qe7s2r3xyFky2XW71,50.0
15,2011-10-13 03:00:54,LVEJ2mbipcJtPVKr18AsbvyzXi126Lx2a8,50.0
16,2011-10-13 03:01:07,LY613zYGyzbTnCQ5ojsgQL5htvUEX67VYB,50.0
17,2011-10-13 03:01:11,LQHR2neivWygAzzGEpkUPZLpo4dututnxd,50.0
18,2011-10-13 03:01:15,Lc2uKNijBE1tZHLeKNkE6r51eXRzGvEEzQ,50.0
19,2011-10-13 03:01:20,LgLWzu9yibrqtJNYJbh8RMRKbTpwCkBDdW,50.0
20,2011-10-13 03:01:25,LXAvXpjSyw5BdBWGc7FpdJMAhiY2PpPRk9,50.0
21,2011-10-13 03:01:26,LXC4Hc5VWkoMESSBNRcbXcBQi3E6CMopLj,50.0
22,2011-10-13 03:01:27,LeqshznTF3jvU6V6ZjCCjRPQfx1wosRMfR,50.0
23,2011-10-13 03:01:31,LUyuRx2qqnr1GBruSK9VVFXuYgqicDP3kY,50.0
24,2011-10-13 03:01:32,LQsHRYtkHaqMn87R5E2XTEhRbSEfHx4q4j,50.0
25,2011-10-13 03:01:37,LdKAz9JmcCZfsfWXnCkeArkJkh1GT5NHWC,50.0
26,2011-10-13 03:01:39,LNaTbJyV1hE71cMp5E1meqJAK4r3aWVQtm,50.0
27,2011-10-13 03:01:37,LKi2azQNTeVMCBjTzyRCd41pd3QhRVgF8M,50.0
28,2011-10-13 03:01:50,LWy3QbeFEbV5DPrBnza8E62eDJfskX1zhv,50.0
29,2011-10-13 03:01:51,LUtU6k6kJUBXWaNtGwE5xfTT2XWJiFjqLq,50.0
30,2011-10-13 03:01:57,LT2MZ461LZURaKC14SkTdYVpCi8dhc1DMB,50.0
31,2011-10-13 03:02:00,LRtGPJUn1nrFZkJwTkFhhvNk5WhhMyVnwM,50.0
32,2011-10-13 03:02:02,LLCrUtuU9tMePKyQAR4jfyoyaRXvYDL9Fz,50.0
33,2011-10-13 03:02:12,LdNgJxEWKj2ACbiUNiLKJQ3jf71KztWGNL,50.0
34,2011-10-13 03:02:15,LcEhb9FjjoQzq1WXfvo9JHGcvDXLDC1u4H,50.0
35,2011-10-13 03:02:17,Lf651FMtcHXJGgQNRzfVAH4pC3t1mMm2Qq,50.0
36,2011-10-13 03:02:21,LXkbcRRZGpA6g3fepwNtfhbBjs3sgkGvy6,50.0
37,2011-10-13 03:02:23,LTgxZnUgMH7KaEodu4FKSMNWyr6qQMsFkA,50.0
38,2011-10-13 03:02:28,LiMQ1weWctemvxPotASMPXRUgm4NSHamPa,50.0
39,2011-10-13 03:02:31,LTdWLbWd2D7VMLpsS8WbtxJk76Eq9j815d,50.0
40,2011-10-13 03:02:36,LPUpzYqvqYV136WSVs9xdZrhGKKkVnTFSe,50.0
41,2011-10-13 03:02:38,LbyeynnST3sDvvjuerM5JQikm1F2uXRCmF,50.0
42,2011-10-13 03:02:47,LSpwfQLToSXjhabEuBVQyKY9dpxcz6aU4R,50.0
43,2011-10-13 03:02:51,LeC9VveFf3aLhuBVQWXu7LhZhrwjB7XnDS,50.0
44,2011-10-13 03:02:56,LSYEUFBi2gzsNGECp4aKbeZEk9S7ViP9UN,50.0
45,2011-10-13 03:02:58,LRVHCqhpJBCg9AK7oYTKTLJBivQUgt7iaN,50.0
46,2011-10-13 03:03:08,LeaJgzn8UJ1mB6nW2VRu95Q7VMwb2JGodb,50.0
47,2011-10-13 03:03:10,LPkhTcJGqHjefZNyvqYz7tQZEbFNwAajF5,50.0
48,2011-10-13 03:03:15,Lhi71FN2gUCSxaEXq68URsJyhLTbqs4m1k,50.0
49,2011-10-13 03:03:18,LNHvLjwZJK6ahzXrWsF6pK48gW11S2r7A1,50.0
50,2011-10-13 03:03:18,LViycqffc4UTfWbBMWSvcnxdXUudFRacE5,50.0
51,2011-10-13 03:03:25,LM4QEmZASRtAARCY7YVy3iy4dsqNDp5zxk,50.0
52,2011-10-13 03:03:28,LgsV3Qvshg6bmghMDGqLSeoqUrmBL2NzzZ,50.0
