Block Height,Timestamp,Tx ID,Inputs,Outputs,Total Output ,Fee 
0,2011-10-07 07:31:05,97ddfbbae6be97fd6cdf3e7ca13232a3afff2353e29badfab7f73011edd4ced9,0,1,50.0,0.0
1,2011-10-08 06:29:19,fa3906a4219078364372d0e2715f93e822edd0b47ce146c71ba7ba57179b50f6,0,1,50.0,0.0
2,2011-10-12 02:34:18,c54357a1ff9f4e792198e75c01fc633acc6d093abd67ec1849596637c3457bf2,0,1,50.0,0.0
3,2011-10-13 02:59:41,53c3bb21e53a8db09a09db48057f5c3f43d1bd55f70c2fbceb587ec859f68e7c,0,1,50.0,0.0
4,2011-10-13 02:59:46,f5af18da8c3dd2f8ec8b448b08d01d901d3f7d67e0c650661bbae7b06b53a365,0,1,50.0,0.0
5,2011-10-13 02:59:51,1bff30373f9ce238879f08e635163d02d624994eb852a20cf5fdf3a334a7525d,0,1,50.0,0.0
6,2011-10-13 02:59:56,cf9b1e1edc0d067b1ca5bb8616836a4c902f0b3108eeeb3cca87330299d04d55,0,1,50.0,0.0
7,2011-10-13 03:00:01,5673343e2682bc7556d978870eb83f6bccfc001ed33797417f52b81aab4f538c,0,1,50.0,0.0
8,2011-10-13 03:00:06,b80279440e801a3866321f31d01fa93cf6fbff2dd2b262e27b1eb0d7ad54d823,0,1,50.0,0.0
9,2011-10-13 03:00:16,786a070a794801e9db2dffcb243498e8427b589b9d013477f4165df83f014e0a,0,1,50.0,0.0
10,2011-10-13 03:00:31,f878e44fca8e6903712c61c6b508f99b4ac0762a07d6d79b3a9b7884ca0dfd59,0,1,50.0,0.0
11,2011-10-13 03:00:33,fa262846ab1789cf993bc022b82ea1d527951e34fb55598df18561aad08b6159,0,1,50.0,0.0
12,2011-10-13 03:00:37,0a78cce90848d96a6dd91e355cb3866356fe79e388ca4512cee8c1e4ddb1e325,0,1,50.0,0.0
13,2011-10-13 03:00:48,5b8e22ef957f4d90f2b59afdd423ffef3b5b315d1fe294b2d3dddfe424040f59,0,1,50.0,0.0
14,2011-10-13 03:00:53,6be18374dc4397a498a13969250a402147901e25a6c716107f37e65671334afd,0,1,50.0,0.0
15,2011-10-13 03:00:54,8004d204ba37001e007c97d0556c55fe856162be79e92993a21dbd92de9932ca,0,1,50.0,0.0
16,2011-10-13 03:01:07,7de7167c858a0ac5c3fe862e9c3bf894fa6f345227b39120e73ae539c6effe01,0,1,50.0,0.0
17,2011-10-13 03:01:11,112a6129ecdd3e7bd2134a4efc8c4427a8368a477c7e266f24cc8d3ff90a0720,0,1,50.0,0.0
18,2011-10-13 03:01:15,953e32f411c04e6c498f20548fdfea1e382de93431005e5e0f8b16a11a44ea6d,0,1,50.0,0.0
19,2011-10-13 03:01:20,87fdba590aadfff342abf401dced98da0c38cdbd1ac3c4cf17e476f1f6d23733,0,1,50.0,0.0
20,2011-10-13 03:01:25,732300fac0d661a2bf01ef2f521460cc26eeb608939c196ab34221f6533d60f7,0,1,50.0,0.0
21,2011-10-13 03:01:26,8c01e7018392e2d7d2492c85f6fda44e967f7e0eda7db1934e9bc60ddafd696c,0,1,50.0,0.0
22,2011-10-13 03:01:27,3effbbf8634675a6479da0b6bc93dffb4c3bcf607cec5bd54ddd9c612243dac0,0,1,50.0,0.0
23,2011-10-13 03:01:31,cd2d555ad3a1dee2543cf33e8b3d7e3dd8cf3f2e56c257d2808de22306c0749e,0,1,50.0,0.0
24,2011-10-13 03:01:32,5c45e166409c98e987ec0cf8eeea5c4fe32810d3c87bbc1f3220cac3805b1dcd,0,1,50.0,0.0
25,2011-10-13 03:01:37,d6b1516907e4dc111f75bd78b4ccb6316221d20e97472b9dc02dc0a62ecbd812,0,1,50.0,0.0
26,2011-10-13 03:01:39,fbd32b312d6dffb6c1d4560ff36c68a9434b5b9448e9201dd7d6b1674177812a,0,1,50.0,0.0
27,2011-10-13 03:01:37,82596fb9c5cc15ee955a9986b40bac4e87f31e52ef44e7c55c0475b3332d43ab,0,1,50.0,0.0
28,2011-10-13 03:01:50,13c5bcdabe774c4ff1210092482d67c3762559a80853cf981e9bc12697976272,0,1,50.0,0.0
29,2011-10-13 03:01:51,6299abdd3f7b9f64043961afd02849e6a4bbf5f81b455886fcd8dfef652e9a65,0,1,50.0,0.0
30,2011-10-13 03:01:57,1495418b992068fe89786c226c2e2093fec204a2a0710c92ff6a490dcecd39cb,0,1,50.0,0.0
31,2011-10-13 03:02:00,26eb892ceaee4590133266cbb460df1655244cb1155acb41cd482a0d007588ac,0,1,50.0,0.0
32,2011-10-13 03:02:02,768b1620325ad8a35914ce034c1d7c71c09c7f7afae661fb37eae9b5b8be373a,0,1,50.0,0.0
33,2011-10-13 03:02:12,42ab54d9130b9a95299d3ddef8caad1c9d4035057fc73f48c9ed2ef9056a0bd4,0,1,50.0,0.0
34,2011-10-13 03:02:15,f25f54b7bf14450c9583ad47899930b3320cdcf8daa0b93ca9b3d87ab9b7fc8f,0,1,50.0,0.0
35,2011-10-13 03:02:17,c4c1967ab60fc1a9a16d9b2c6bc4968cf2fb1cbd27f88331b7db09b0844c0dac,0,1,50.0,0.0
36,2011-10-13 03:02:21,3de0341a01298bbd265f792e87370ddd01e094567771d4324621fb0a0fb568d8,0,1,50.0,0.0
37,2011-10-13 03:02:23,33deab70007a4210b2545f1ad516319bdedbcc836faf777c4af27431eab37c6d,0,1,50.0,0.0
38,2011-10-13 03:02:28,cf28d92392ec6c24524c05156252769c1a777243a4dd68fa457754e73860feca,0,1,50.0,0.0
39,2011-10-13 03:02:31,c180bd3bdc0ac8d6dc0819105f0036233cbedcafac4795ce00f119b5fa7c24e4,0,1,50.0,0.0
40,2011-10-13 03:02:36,2b9361dd0cccb0b816ecfd04b77b8ad85c5cea019f90972cf10723efc0984812,0,1,50.0,0.0
41,2011-10-13 03:02:38,8546fb15a12fd8bf0e7ebb3f0905c449550548be0950ec9215f4c32130de6080,0,1,50.0,0.0
42,2011-10-13 03:02:47,14564eff14f8f56fe56fbd48acf60cbec3257b506272a53f467d691e1971fbdb,0,1,50.0,0.0
43,2011-10-13 03:02:51,9074ddcfa7f6d7f6ff40dc3b4ff881ce3d21f8dee9cb372e77b4fda61d367701,0,1,50.0,0.0
